A̱o,Trimestre,Ingresos (dolares)
2024,2,442916.23
2024,1,346891.38
2023,4,167710.77
2023,3,133372.81
2023,2,118296.4
2023,1,104343.26
2022,4,72588.37
2022,3,64214.96
2022,2,60540.34
2022,1,55329.75
2021,4,45558.82
2021,3,43085.94
2021,2,38316.15
2021,1,36749.72
2020,4,33606.78
2020,3,32061.44
2020,2,32166.68
2020,1,30006.11
2019,4,24217.59
2019,3,21696.05
2019,2,20784.6
2019,1,20247.83
2018,4,16670.96
2018,3,15441.8
2018,2,14348.11
2018,1,13197.8
2017,4,11248.58
2017,3,10086.13
2017,2,9698.0
2017,1,8718.6
2016,4,7498.95
2016,3,6926.27
2016,2,6547.31
2016,1,5948.72
2015,4,5387.65
2015,3,5164.05
2015,2,4711.19
2015,1,4886.14
2014,4,3958.34
2014,3,3485.6
2014,2,3277.36
2014,1,2990.02
